"county","state","party","procent_wykształcenie_wyższe","liczba_gł_republikanie","liczba_gł_demokraci"
Lafayette,Florida,Republican,"0 - 10 %",282334,183010
Lee,South Carolina,Republican,"0 - 10 %",282334,183010
Glascock,Georgia,Republican,"0 - 10 %",282334,183010
Echols,Georgia,Republican,"0 - 10 %",282334,183010
Lafayette,Florida,Democrat,"0 - 10 %",282334,183010
Jackson,Kentucky,Republican,"0 - 10 %",282334,183010
Bledsoe,Tennessee,Republican,"0 - 10 %",282334,183010
Lamar,Alabama,Republican,"0 - 10 %",282334,183010
Madison,Missouri,Republican,"0 - 10 %",282334,183010
Metcalfe,Kentucky,Republican,"0 - 10 %",282334,183010
Alexander,Illinois,Democrat,"0 - 10 %",282334,183010
Metcalfe,Kentucky,Democrat,"0 - 10 %",282334,183010
Heard,Georgia,Democrat,"0 - 10 %",282334,183010
Conecuh,Alabama,Democrat,"0 - 10 %",282334,183010
Casey,Kentucky,Democrat,"0 - 10 %",282334,183010
Wayne,Kentucky,Republican,"0 - 10 %",282334,183010
Quitman,Georgia,Democrat,"0 - 10 %",282334,183010
McMullen,Texas,Democrat,"0 - 10 %",282334,183010
Garza,Texas,Republican,"0 - 10 %",282334,183010
Clay,Kentucky,Democrat,"0 - 10 %",282334,183010
Worth,Georgia,Republican,"0 - 10 %",282334,183010
Morrow,Oregon,Republican,"0 - 10 %",282334,183010
Taliaferro,Georgia,Republican,"0 - 10 %",282334,183010
Wilkinson,Georgia,Republican,"0 - 10 %",282334,183010
Prairie,Arkansas,Republican,"0 - 10 %",282334,183010
Minidoka,Idaho,Republican,"0 - 10 %",282334,183010
Lincoln,West Virginia,Republican,"0 - 10 %",282334,183010
Brantley,Georgia,Democrat,"0 - 10 %",282334,183010
Blackford,Indiana,Democrat,"0 - 10 %",282334,183010
Clay,Alabama,Republican,"0 - 10 %",282334,183010
Meigs,Tennessee,Republican,"0 - 10 %",282334,183010
La Paz,Arizona,Republican,"0 - 10 %",282334,183010
